VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-03-01 09:34:04,2016-03-01 09:38:17,1,1.00,-73.995231628417969,40.688163757324219,1,N,-73.999275207519531,40.675403594970703,1,5,0,0.5,1.15,0,0.3,6.95
2,2016-03-01 09:34:04,2016-03-01 09:56:22,1,2.27,-73.985885620117187,40.77789306640625,1,N,-73.954093933105469,40.763973236083984,2,15,0,0.5,0,0,0.3,15.8
2,2016-03-01 09:34:04,2016-03-01 09:45:28,1,1.38,-73.980491638183594,40.764503479003906,1,N,-73.984039306640625,40.749214172363281,1,9,0,0.5,1.96,0,0.3,11.76
2,2016-03-01 09:34:05,2016-03-01 09:44:30,1,.99,-73.991493225097656,40.770328521728516,1,N,-73.980781555175781,40.76171875,1,8,0,0.5,1.76,0,0.3,10.56
1,2016-03-01 09:34:06,2016-03-01 10:12:31,1,11.30,-73.863487243652344,40.769538879394531,1,N,-73.974441528320312,40.753192901611328,1,36,0,0.5,8.45,5.54,0.3,50.79
1,2016-03-01 09:34:06,2016-03-01 09:50:17,1,1.40,-73.978408813476563,40.752010345458984,1,N,-74.000297546386719,40.761703491210938,1,11.5,0,0.5,2.45,0,0.3,14.75
2,2016-03-01 09:34:06,2016-03-01 09:46:48,1,2.22,-73.993431091308594,40.733261108398437,1,N,-74.01214599609375,40.713661193847656,1,10.5,0,0.5,2.26,0,0.3,13.56
1,2016-03-01 09:34:07,2016-03-01 09:50:22,2,2.80,-73.9642333984375,40.802387237548828,1,N,-73.941123962402344,40.839195251464844,1,13,0,0.5,3.45,0,0.3,17.25
1,2016-03-01 09:34:07,2016-03-01 09:47:35,1,1.20,-73.988998413085938,40.751438140869141,1,N,-74.006149291992188,40.748531341552734,1,9.5,0,0.5,2.55,0,0.3,12.85
2,2016-03-01 09:34:07,2016-03-01 09:45:00,1,1.05,-73.978675842285156,40.786666870117188,1,N,-73.989151000976563,40.774604797363281,2,8.5,0,0.5,0,0,0.3,9.3
2,2016-03-01 09:34:07,2016-03-01 09:37:55,1,1.05,-73.960525512695312,40.769817352294922,1,N,-73.951774597167969,40.781929016113281,1,5,0,0.5,1,0,0.3,6.8
1,2016-03-01 09:34:08,2016-03-01 09:54:36,2,4.70,-74.004898071289063,40.707233428955078,1,N,-73.981208801269531,40.750091552734375,1,18,0,0.5,3.75,0,0.3,22.55
