#states step:0
#current participants:
0	ParticipantState.working	task1	[-73.97906467356539, 40.71778830434472]	[-73.97906467356539, 40.71778830434472]	[-73.98402404785156, 40.75751876831055]	0.0400387956893	0.015	
1	ParticipantState.available	NULL	[-73.89970358707632, 40.66798377278418]	[-73.8776, 40.6477]	[-73.9857, 40.7469]	0.116718267438	0.015	
2	ParticipantState.available	NULL	[-73.9935, 40.7393]	[-73.9935, 40.7393]	[-74.0071, 40.748]	0.0161446585594	0.0	
3	ParticipantState.available	NULL	[-73.95978610018444, 40.74543077179099]	[-73.9635, 40.7752]	[-73.9571, 40.7239]	0.0216976788647	0.015	
4	ParticipantState.available	NULL	[-73.81074746213082, 40.653806341193906]	[-73.7821, 40.6449]	[-74.0079, 40.7151]	0.206460736699	0.015	
#current running_schedules: 1
task1	TaskState.picking	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
#current pending_schedules: 1
task2	TaskState.pending	-1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
#current finished_schedules: 0
#total reward:-0.015

#states step:1
#current participants:
0	ParticipantState.working	task1	[-73.9809226368985, 40.73267279198296]	[-73.97906467356539, 40.71778830434472]	[-73.98402404785156, 40.75751876831055]	0.0250387956893	0.015	
1	ParticipantState.working	task2	[-73.91075538061448, 40.678125659176274]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.108035009958	0.015	
2	ParticipantState.available	NULL	[-74.00613575808984, 40.747383168778065]	[-73.9935, 40.7393]	[-74.0071, 40.748]	0.00114465855941	0.015	
3	ParticipantState.available	NULL	[-73.95792915027667, 40.73054615768649]	[-73.9635, 40.7752]	[-73.9571, 40.7239]	0.00669767886472	0.015	
4	ParticipantState.available	NULL	[-73.82507119319624, 40.65825951179086]	[-73.7821, 40.6449]	[-74.0079, 40.7151]	0.191460736699	0.015	
#current running_schedules: 2
task1	TaskState.picking	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
#current pending_schedules: 1
task3	TaskState.pending	-1	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	0	0.02372342441	
#current finished_schedules: 0
#total reward:-0.045

#states step:2
#current participants:
0	ParticipantState.working	task1	[-73.98278060023162, 40.74755727962119]	[-73.97906467356539, 40.71778830434472]	[-73.98402404785156, 40.75751876831055]	0.0100387956893	0.015	
1	ParticipantState.working	task2	[-73.92092828668427, 40.68914890652427]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0930350099584	0.015	
2	ParticipantState.working	task3	[-73.9935, 40.7393]	[-73.9935, 40.7393]	[-73.99237823486328, 40.74361801147461]	0.00446134286026	0.0	
3	ParticipantState.available	NULL	[-73.9635, 40.7752]	[-73.9635, 40.7752]	[-73.9599, 40.7814]	0.00716937933157	0.0	
4	ParticipantState.available	NULL	[-73.83939492426165, 40.66271268238781]	[-73.7821, 40.6449]	[-74.0079, 40.7151]	0.176460736699	0.015	
#current running_schedules: 3
task1	TaskState.picking	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task3	TaskState.picking	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	0	0.02372342441	
#current pending_schedules: 1
task4	TaskState.pending	-1	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	0	0.00948986356769	
#current finished_schedules: 0
#total reward:-0.075

#states step:3
#current participants:
0	ParticipantState.working	task1	[-73.98402404785156, 40.75751876831055]	[-73.97906467356539, 40.71778830434472]	[-73.98402404785156, 40.75751876831055]	0.0	0.0100387956893	
1	ParticipantState.working	task2	[-73.93110119275407, 40.70017215387226]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0780350099584	0.015	
2	ParticipantState.working	task3	[-73.99237823486328, 40.74361801147461]	[-73.9935, 40.7393]	[-73.99237823486328, 40.74361801147461]	0.0	0.00446134286026	
3	ParticipantState.working	task4	[-73.9635, 40.7752]	[-73.9635, 40.7752]	[-73.9964599609375, 40.753196716308594]	0.0396295788295	0.0	
4	ParticipantState.available	NULL	[-73.85371865532707, 40.667165852984766]	[-73.7821, 40.6449]	[-74.0079, 40.7151]	0.161460736699	0.015	
#current running_schedules: 4
task1	TaskState.picked	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task3	TaskState.picked	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	0	0.02372342441	
task4	TaskState.picking	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	0	0.00948986356769	
#current pending_schedules: 1
task5	TaskState.pending	-1	[-73.97132873535156, 40.76344680786133]	[-73.97132873535156, 40.76344680786133]	[-73.96102142333984, 40.777671813964844]	1.0	1.1	8.5	0	0.0175667720299	
#current finished_schedules: 0
#total reward:-0.10450013855

#states step:4
#current participants:
0	ParticipantState.available	NULL	[-73.97906467356539, 40.71778830434472]	[-73.97906467356539, 40.71778830434472]	[-73.9557, 40.7838]	0.0700246523312	0.0	
1	ParticipantState.working	task2	[-73.94127409882387, 40.71119540122025]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0630350099584	0.015	
2	ParticipantState.available	NULL	[-73.9935, 40.7393]	[-73.9935, 40.7393]	[-73.9783, 40.7883]	0.0513034111926	0.0	
3	ParticipantState.working	task4	[-73.97597551522536, 40.76687164362784]	[-73.9635, 40.7752]	[-73.9964599609375, 40.753196716308594]	0.0246295788295	0.015	
4	ParticipantState.working	task5	[-73.86804238639249, 40.67161902358172]	[-73.86804238639249, 40.67161902358172]	[-73.97132873535156, 40.76344680786133]	0.138204239613	0.015	
#current running_schedules: 3
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task4	TaskState.picking	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	0	0.00948986356769	
task5	TaskState.picking	4	[-73.97132873535156, 40.76344680786133]	[-73.97132873535156, 40.76344680786133]	[-73.96102142333984, 40.777671813964844]	1.0	1.1	8.5	0	0.0175667720299	
#current pending_schedules: 1
task6	TaskState.pending	-1	[-73.9849624633789, 40.76884841918945]	[-73.9849624633789, 40.76884841918945]	[-73.97740936279297, 40.7492561340332]	1.0	1.8	14.0	0	0.0209977847904	
#current finished_schedules: 2
task1	TaskState.finished	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	1	0.0562286792325	
task3	TaskState.finished	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	1	0.02372342441	
#total reward:0.090356172378

#states step:5
#current participants:
0	ParticipantState.working	task6	[-73.97405972042657, 40.731928687793484]	[-73.97405972042657, 40.731928687793484]	[-73.9849624633789, 40.76884841918945]	0.0384959266707	0.015	
1	ParticipantState.working	task2	[-73.95144700489367, 40.722218648568244]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0480350099584	0.015	
2	ParticipantState.available	NULL	[-73.98905585106915, 40.75362653273756]	[-73.9935, 40.7393]	[-73.9783, 40.7883]	0.0363034111926	0.015	
3	ParticipantState.working	task4	[-73.98845103045072, 40.75854328725568]	[-73.9635, 40.7752]	[-73.9964599609375, 40.753196716308594]	0.00962957882954	0.015	
4	ParticipantState.working	task5	[-73.87925257240938, 40.681585554044545]	[-73.86804238639249, 40.67161902358172]	[-73.97132873535156, 40.76344680786133]	0.123204239613	0.015	
#current running_schedules: 4
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task4	TaskState.picking	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	0	0.00948986356769	
task5	TaskState.picking	4	[-73.97132873535156, 40.76344680786133]	[-73.97132873535156, 40.76344680786133]	[-73.96102142333984, 40.777671813964844]	1.0	1.1	8.5	0	0.0175667720299	
task6	TaskState.picking	0	[-73.9849624633789, 40.76884841918945]	[-73.9849624633789, 40.76884841918945]	[-73.97740936279297, 40.7492561340332]	1.0	1.8	14.0	0	0.0209977847904	
#current pending_schedules: 1
task7	TaskState.pending	-1	[-73.9599609375, 40.77046585083008]	[-73.9599609375, 40.77046585083008]	[-73.96983337402344, 40.7999382019043]	1.0	2.9	13.0	0	0.0310818995679	
#current finished_schedules: 2
task1	TaskState.finished	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	1	0.0562286792325	
task3	TaskState.finished	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	1	0.02372342441	
#total reward:0.030356172378

#states step:6
#current participants:
0	ParticipantState.working	task6	[-73.9783079918264, 40.74631452075906]	[-73.97405972042657, 40.731928687793484]	[-73.9849624633789, 40.76884841918945]	0.0234959266707	0.015	
1	ParticipantState.working	task2	[-73.96161991096346, 40.73324189591624]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0330350099584	0.015	
2	ParticipantState.working	task7	[-73.98461170213832, 40.76795306547513]	[-73.98461170213832, 40.76795306547513]	[-73.9599609375, 40.77046585083008]	0.0247785045452	0.015	
3	ParticipantState.working	task4	[-73.9964599609375, 40.753196716308594]	[-73.9635, 40.7752]	[-73.9964599609375, 40.753196716308594]	0.0	0.00962957882954	
4	ParticipantState.working	task5	[-73.8904627584263, 40.69155208450737]	[-73.86804238639249, 40.67161902358172]	[-73.97132873535156, 40.76344680786133]	0.108204239613	0.015	
#current running_schedules: 5
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task4	TaskState.picked	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	0	0.00948986356769	
task5	TaskState.picking	4	[-73.97132873535156, 40.76344680786133]	[-73.97132873535156, 40.76344680786133]	[-73.96102142333984, 40.777671813964844]	1.0	1.1	8.5	0	0.0175667720299	
task6	TaskState.picking	0	[-73.9849624633789, 40.76884841918945]	[-73.9849624633789, 40.76884841918945]	[-73.97740936279297, 40.7492561340332]	1.0	1.8	14.0	0	0.0209977847904	
task7	TaskState.picking	2	[-73.9599609375, 40.77046585083008]	[-73.9599609375, 40.77046585083008]	[-73.96983337402344, 40.7999382019043]	1.0	2.9	13.0	0	0.0310818995679	
#current pending_schedules: 1
task8	TaskState.pending	-1	[-73.96590423583984, 40.805301666259766]	[-73.96590423583984, 40.805301666259766]	[-73.96439361572266, 40.77460479736328]	1.0	2.8	14.0	0	0.0307340158975	
#current finished_schedules: 2
task1	TaskState.finished	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	1	0.0562286792325	
task3	TaskState.finished	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	1	0.02372342441	
#total reward:-0.0392734064515

#states step:7
#current participants:
0	ParticipantState.working	task6	[-73.98255626322623, 40.76070035372463]	[-73.97405972042657, 40.731928687793484]	[-73.9849624633789, 40.76884841918945]	0.00849592667069	0.015	
1	ParticipantState.working	task2	[-73.97179281703326, 40.74426514326423]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0180350099584	0.015	
2	ParticipantState.working	task7	[-73.96968903120387, 40.76947421378558]	[-73.98461170213832, 40.76795306547513]	[-73.9599609375, 40.77046585083008]	0.00977850454515	0.015	
3	ParticipantState.available	NULL	[-73.9635, 40.7752]	[-73.9635, 40.7752]	[-73.972, 40.7523]	0.024426624818	0.0	
4	ParticipantState.working	task5	[-73.90167294444319, 40.7015186149702]	[-73.86804238639249, 40.67161902358172]	[-73.97132873535156, 40.76344680786133]	0.093204239613	0.015	
#current running_schedules: 4
task2	TaskState.picking	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task5	TaskState.picking	4	[-73.97132873535156, 40.76344680786133]	[-73.97132873535156, 40.76344680786133]	[-73.96102142333984, 40.777671813964844]	1.0	1.1	8.5	0	0.0175667720299	
task6	TaskState.picking	0	[-73.9849624633789, 40.76884841918945]	[-73.9849624633789, 40.76884841918945]	[-73.97740936279297, 40.7492561340332]	1.0	1.8	14.0	0	0.0209977847904	
task7	TaskState.picking	2	[-73.9599609375, 40.77046585083008]	[-73.9599609375, 40.77046585083008]	[-73.96983337402344, 40.7999382019043]	1.0	2.9	13.0	0	0.0310818995679	
#current pending_schedules: 2
task8	TaskState.pending	-1	[-73.96590423583984, 40.805301666259766]	[-73.96590423583984, 40.805301666259766]	[-73.96439361572266, 40.77460479736328]	1.0	2.8	14.0	0	0.0307340158975	
task9	TaskState.pending	-1	[-73.97997283935547, 40.74311065673828]	[-73.97997283935547, 40.74311065673828]	[-73.99175262451172, 40.7540283203125]	1.0	1.24	10.5	0	0.0160610932457	
#current finished_schedules: 3
task1	TaskState.finished	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	1	0.0562286792325	
task3	TaskState.finished	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	1	0.02372342441	
task4	TaskState.finished	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	1	0.00948986356769	
#total reward:-0.0708038157484

#states step:8
#current participants:
0	ParticipantState.working	task6	[-73.9849624633789, 40.76884841918945]	[-73.97405972042657, 40.731928687793484]	[-73.9849624633789, 40.76884841918945]	0.0	0.00849592667069	
1	ParticipantState.working	task2	[-73.98196572310306, 40.75528839061222]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.00303500995838	0.015	
2	ParticipantState.working	task7	[-73.9599609375, 40.77046585083008]	[-73.98461170213832, 40.76795306547513]	[-73.9599609375, 40.77046585083008]	0.0	0.00977850454514	
3	ParticipantState.working	task8	[-73.96871971418278, 40.76113747590757]	[-73.96871971418278, 40.76113747590757]	[-73.96590423583984, 40.805301666259766]	0.0442538430847	0.015	
