#states step:0
#current participants:
0	ParticipantState.available	NULL	[-74.00833917667238, 40.72781319361712]	[-74.0163, 40.7151]	[-73.9833, 40.7678]	0.0471794982289	0.015	
1	ParticipantState.available	NULL	[-74.0034, 40.7294]	[-74.0034, 40.7294]	[-73.9983, 40.7238]	0.0075742986474	0.0	
2	ParticipantState.available	NULL	[-73.9906836901291, 40.751778458380436]	[-74.0052, 40.748]	[-73.9226, 40.7695]	0.0703522700343	0.015	
3	ParticipantState.available	NULL	[-73.972500827429, 40.75031573273003]	[-73.9602, 40.7589]	[-73.9976, 40.7328]	0.030606688106	0.015	
4	ParticipantState.available	NULL	[-74.162460159323, 40.69428156373594]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.168889368915	0.015	
#current running_schedules: 0
#current pending_schedules: 1
task1	TaskState.pending	-1	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	0	0.0357286315578	
#current finished_schedules: 0
#total reward:0.0

#states step:1
#current participants:
0	ParticipantState.available	NULL	[-74.00037835334477, 40.740526387234254]	[-74.0163, 40.7151]	[-73.9833, 40.7678]	0.0321794982289	0.015	
1	ParticipantState.available	NULL	[-74.0034, 40.7294]	[-74.0034, 40.7294]	[-73.9881, 40.7545]	0.0293955778987	0.0	
2	ParticipantState.available	NULL	[-73.97616738025822, 40.755556916760874]	[-74.0052, 40.748]	[-73.9226, 40.7695]	0.0553522700342	0.015	
3	ParticipantState.working	task1	[-73.984801654858, 40.74173146546006]	[-73.984801654858, 40.74173146546006]	[-73.98038482666016, 40.754146575927734]	0.0131773798326	0.015	
4	ParticipantState.available	NULL	[-74.14772031864602, 40.697063127471885]	[-74.1772, 40.6915]	[-73.9965, 40.7256]	0.153889368915	0.015	
#current running_schedules: 1
task1	TaskState.picking	3	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	0	0.0357286315578	
#current pending_schedules: 1
task2	TaskState.pending	-1	[-73.98038482666016, 40.754146575927734]	[-73.98038482666016, 40.754146575927734]	[-74.00540924072266, 40.72864532470703]	1.0	2.5	13.0	0	0.0357286315578	
#current finished_schedules: 0
#total reward:-0.015

#states step:2
#current participants:
0	ParticipantState.available	NULL	[-73.99241753001716, 40.75323958085138]	[-74.0163, 40.7151]	[-73.9833, 40.7678]	0.0171794982289	0.015	
1	ParticipantState.available	NULL	[-73.99559270324296, 40.74220804892821]	[-74.0034, 40.7294]	[-73.9881, 40.7545]	0.0143955778987	0.015	
2	ParticipantState.working	task2	[-73.9616510703873, 40.75933537514131]	[-73.9616510703873, 40.75933537514131]	[-73.98038482666016, 40.754146575927734]	0.019439065342	0.015	
